generation,local_x,local_y,local_best,result,best_x,best_y,global_best
1,3.2150537634409,1.3006105006105,0.99110188336968,0.99110188336968,3.2150537634409,1.3006105006105,0.99110188336968
2,3.2218963831867,1.160927960928,0.98222015754473,0.98222015754473,3.2150537634409,1.3006105006105,0.99110188336968
3,3.2111436950147,0.98412698412698,0.99894201012007,0.99894201012007,3.2111436950147,0.98412698412698,0.99894201012007
4,3.9403714565005,1.1355311355311,0.99184731161946,0.99184731161946,3.2111436950147,0.98412698412698,0.99894201012007
5,3.9491691104594,1.1277167277167,0.99822776659994,0.99822776659994,3.2111436950147,0.98412698412698,0.99894201012007
6,3.9442815249267,1.1365079365079,0.99863332121652,0.99863332121652,3.2111436950147,0.98412698412698,0.99894201012007
7,3.5728250244379,0.8004884004884,0.99719575503847,0.99719575503847,3.2111436950147,0.98412698412698,0.99894201012007
8,3.5669599217986,0.80732600732601,0.98383537390292,0.98383537390292,3.2111436950147,0.98412698412698,0.99894201012007
9,3.5650048875855,0.80732600732601,0.9760408924642,0.9760408924642,3.2111436950147,0.98412698412698,0.99894201012007
10,3.5728250244379,0.80830280830281,0.99742978159543,0.99742978159543,3.2111436950147,0.98412698412698,0.99894201012007
11,3.5757575757576,0.81123321123321,0.99865660078392,0.99865660078392,3.2111436950147,0.98412698412698,0.99894201012007
12,3.574780058651,0.79169719169719,0.99808224555571,0.99808224555571,3.2111436950147,0.98412698412698,0.99894201012007
13,3.5767350928641,0.79267399267399,0.9976193719702,0.9976193719702,3.2111436950147,0.98412698412698,0.99894201012007
14,3.58357771261,1.3514041514042,0.96933430261076,0.96933430261076,3.2111436950147,0.98412698412698,0.99894201012007
15,3.5786901270772,1.3514041514042,0.98204076980678,0.98204076980678,3.2111436950147,0.98412698412698,0.99894201012007
16,3.9579667644184,1.0456654456654,0.97273193060252,0.97273193060252,3.2111436950147,0.98412698412698,0.99894201012007
17,3.9491691104594,1.3748473748474,0.97875061776618,0.97875061776618,3.2111436950147,0.98412698412698,0.99894201012007
18,3.9462365591398,0.66471306471306,0.98734916771005,0.98734916771005,3.2111436950147,0.98412698412698,0.99894201012007
19,3.9481915933529,1.3074481074481,0.99045658346307,0.99045658346307,3.2111436950147,0.98412698412698,0.99894201012007
20,3.9442815249267,1.3084249084249,0.98993162126048,0.98993162126048,3.2111436950147,0.98412698412698,0.99894201012007
21,3.9462365591398,1.2859584859585,0.99330012176281,0.99330012176281,3.2111436950147,0.98412698412698,0.99894201012007
22,3.5689149560117,0.68327228327228,0.98132520344478,0.98132520344478,3.2111436950147,0.98412698412698,0.99894201012007
23,3.5689149560117,0.91965811965812,0.99134692821989,0.99134692821989,3.2111436950147,0.98412698412698,0.99894201012007
24,3.2150537634409,0.9050061050061,0.99918658928284,0.99918658928284,3.2150537634409,0.9050061050061,0.99918658928284
25,3.5728250244379,0.81221001221001,0.99753655754496,0.99753655754496,3.2150537634409,0.9050061050061,0.99918658928284
26,3.208211143695,0.82393162393162,0.99308876131078,0.99308876131078,3.2150537634409,0.9050061050061,0.99918658928284
27,3.2111436950147,0.78095238095238,0.99663981476771,0.99663981476771,3.2150537634409,0.9050061050061,0.99918658928284
28,3.2150537634409,0.58754578754579,0.97032772262963,0.97032772262963,3.2150537634409,0.9050061050061,0.99918658928284
29,3.2130987292278,0.58852258852259,0.97132540606619,0.97132540606619,3.2150537634409,0.9050061050061,0.99918658928284
30,3.208211143695,0.76141636141636,0.99080963438338,0.99080963438338,3.2150537634409,0.9050061050061,0.99918658928284
31,3.2140762463343,1.2595848595849,0.9953114272543,0.9953114272543,3.2150537634409,0.9050061050061,0.99918658928284
32,3.2150537634409,0.81221001221001,0.9980243931396,0.9980243931396,3.2150537634409,0.9050061050061,0.99918658928284
33,3.5738025415445,1.0153846153846,0.99958273231635,0.99958273231635,3.5738025415445,1.0153846153846,0.99958273231635
34,3.5738025415445,1.0153846153846,0.99958273231635,0.99958273231635,3.5738025415445,1.0153846153846,0.99958273231635
35,3.5786901270772,1.0310134310134,0.99728835968607,0.99728835968607,3.5738025415445,1.0153846153846,0.99958273231635
36,3.2140762463343,1.1814407814408,0.99876829479728,0.99876829479728,3.5738025415445,1.0153846153846,0.99958273231635
37,3.5738025415445,0.82979242979243,0.99874349168999,0.99874349168999,3.5738025415445,1.0153846153846,0.99958273231635
38,3.941348973607,1.2654456654457,0.98951323361155,0.98951323361155,3.5738025415445,1.0153846153846,0.99958273231635
39,3.941348973607,1.2615384615385,0.98979915889267,0.98979915889267,3.5738025415445,1.0153846153846,0.99958273231635
40,3.9491691104594,1.2634920634921,0.99367357711237,0.99367357711237,3.5738025415445,1.0153846153846,0.99958273231635
41,3.5816226783969,1.1404151404151,0.99050927895128,0.99050927895128,3.5738025415445,1.0153846153846,0.99958273231635
42,3.5806451612903,1.1824175824176,0.99233493178834,0.99233493178834,3.5738025415445,1.0153846153846,0.99958273231635
43,3.217008797654,0.83858363858364,0.99609392580851,0.99609392580851,3.5738025415445,1.0153846153846,0.99958273231635
44,3.9433040078201,0.91672771672772,0.99782961939842,0.99782961939842,3.5738025415445,1.0153846153846,0.99958273231635
45,3.9393939393939,0.94700854700855,0.98949087257843,0.98949087257843,3.5738025415445,1.0153846153846,0.99958273231635
46,3.5738025415445,1.1023199023199,0.99947318078751,0.99947318078751,3.5738025415445,1.0153846153846,0.99958273231635
47,3.574780058651,1.0925518925519,0.99989156902345,0.99989156902345,3.574780058651,1.0925518925519,0.99989156902345
